country,Need_Score
Haiti,10.298786917225883
Central African Republic,8.383809137908774
Chad,8.229056088798577
Niger,7.982551289234985
Sierra Leone,7.790179487898437
Mali,7.554347582341583
"Congo, Dem. Rep.",7.3370803429616265
Burkina Faso,6.792151116394239
Mozambique,6.632339970648204
Burundi,6.569477191886668
Nigeria,6.537640259187571
Guinea-Bissau,6.462131129411369
Angola,6.4165048518544605
Malawi,6.35544063438478
Cote d'Ivoire,6.3498667109934015
Afghanistan,6.300931685518865
Guinea,6.264115806470857
Uganda,6.224437943070072
Zambia,6.1832480492845665
Cameroon,6.053097625759658
Lesotho,5.887742654361626
Benin,5.8597315648126305
Togo,5.416399714316147
Liberia,5.289410866822121
Tanzania,5.204644087384727
Gambia,4.929845830775116
Comoros,4.4468369296037515
Mauritania,4.445671529001065
Madagascar,4.296536729972895
"Congo, Rep.",4.290775601773177
Senegal,4.2815833376942525
Ghana,4.094904999194009
Sudan,4.060958807988704
Timor-Leste,4.026438418037063
Eritrea,4.022225231034531
Pakistan,3.851051681271005
Rwanda,3.8370191302231413
Kenya,3.8315533314324366
Kiribati,3.7400818536840514
Equatorial Guinea,3.30889921022208
Lao,3.2382824210373164
Yemen,3.2306711704977187
Namibia,3.0986539489438263
Solomon Islands,3.0401379987300676
Gabon,2.567321088632892
South Africa,2.5586895312554794
Botswana,2.388446251693822
Tajikistan,2.2828742571545297
Vanuatu,2.277777269623613
"Micronesia, Fed. Sts.",2.2349251650253987
Iraq,2.106893267394694
Myanmar,2.0708602096127886
India,2.0694308905739978
Cambodia,2.0372847760428123
Nepal,1.7131252025030657
Turkmenistan,1.6528596710222458
Kyrgyz Republic,1.5250877325126369
Guyana,1.4873662023360255
Bolivia,1.4680040969969972
Samoa,1.4657548609798488
Philippines,1.351047557049558
Tonga,1.3403841428758372
Bangladesh,1.3179560915881359
Guatemala,1.2283959573237142
Fiji,1.0754759209320284
Uzbekistan,1.0515412067108723
Mongolia,1.039828085743911
Egypt,0.8847492781722475
Bhutan,0.7078278661079789
Indonesia,0.6329540747057161
Cape Verde,0.4208098433670907
Morocco,0.41702041333877654
Jordan,0.36061954382238115
Belize,0.21684700768874965
Paraguay,0.14883550551550245
Vietnam,-0.024321701940125007
Azerbaijan,-0.04436251488452572
Dominican Republic,-0.057234841372209744
Suriname,-0.19868551470974877
Moldova,-0.23043967024687637
El Salvador,-0.2651928441847545
Algeria,-0.2954402826022896
Kazakhstan,-0.34515990568666444
Ecuador,-0.3513439964045969
Georgia,-0.3863208572659942
St. Vincent and the Grenadines,-0.39205589264449725
Grenada,-0.5262783630683395
Jamaica,-0.555378804310154
Armenia,-0.5679746876317209
Sri Lanka,-0.600077883483189
Ukraine,-0.6103031665363339
Peru,-0.7370083687490776
Tunisia,-0.9361073664532177
China,-1.061108707233022
Colombia,-1.0774831468353547
Panama,-1.138135945861893
Albania,-1.1857960103997232
Maldives,-1.2609020766182821
"Macedonia, FYR",-1.3009581659745342
Belarus,-1.3348251219105256
Iran,-1.3649301670004812
Venezuela,-1.3853330039927267
Brazil,-1.3968328788531703
Mauritius,-1.476097762829991
Seychelles,-1.480840265431901
Argentina,-1.5007137866442302
Bulgaria,-1.5422504724616894
Thailand,-1.5680844330548218
Serbia,-1.6111699450283863
Russia,-1.6491159245275073
Romania,-1.6951695764226555
Montenegro,-1.7147894372669503
Malaysia,-1.7215616836340093
Bosnia and Herzegovina,-1.7262324211831348
Turkey,-1.7882218808297363
Uruguay,-1.861832625652949
Antigua and Barbuda,-2.00175351668062
Costa Rica,-2.013132911464555
Latvia,-2.0659231391110184
Libya,-2.1214301926401253
Barbados,-2.135614401853286
Lithuania,-2.2107098686821414
Lebanon,-2.356178743700414
Chile,-2.520503438259558
Croatia,-2.572191469611722
Estonia,-2.646062115700303
Hungary,-2.6480846937707914
Poland,-2.6917111989217437
Bahamas,-2.8175804931553516
Saudi Arabia,-2.8826814652756476
Slovak Republic,-2.959152141745213
Oman,-3.1294986140148264
Bahrain,-3.543703372730241
Czech Republic,-3.557652879974914
Israel,-3.619230599032932
Malta,-3.9594114002169256
Slovenia,-3.966257021100673
Portugal,-3.9746490600430873
South Korea,-4.254120592668178
Greece,-4.301514730739175
New Zealand,-4.402962012094742
Cyprus,-4.776305994580133
Spain,-4.951715496492915
United Kingdom,-5.013273185742411
France,-5.21877472651823
Italy,-5.336148691014712
Iceland,-5.383598141808693
United Arab Emirates,-5.433248844926959
Belgium,-5.592518297424498
Finland,-5.654063766454103
Germany,-5.743958308357425
United States,-5.980611564106901
Japan,-5.981767980406893
Ireland,-5.993848640806716
Canada,-6.007526035936976
Austria,-6.178225594835291
Australia,-6.190279646159663
Sweden,-6.234514394012829
Netherlands,-6.2696386086969005
Denmark,-6.434568561293827
Kuwait,-6.452229330802905
Brunei,-6.686612431283576
Singapore,-8.143001933030602
Switzerland,-8.467765380008261
Norway,-9.155998806464432
Qatar,-11.067590581300074
Luxembourg,-11.882676720875287
